subj_idx,date,trialnum,stim,response,rt
172,2017-11-21,13,2,1,9.76
172,2017-11-21,14,2,1,7.53
172,2017-11-21,15,2,1,6.06
172,2017-11-21,16,2,1,10.68
172,2017-11-21,17,1,1,3.61
172,2017-11-21,18,1,1,4.11
172,2017-11-21,19,2,1,6.75
172,2017-11-21,20,1,1,0.48
172,2017-11-21,21,2,0,8.84
172,2017-11-21,22,2,0,3.66
172,2017-11-21,23,2,1,31.01
172,2017-11-21,24,1,1,9.82
172,2017-11-21,25,1,0,48.92
172,2017-11-21,26,2,1,31.36
172,2017-11-21,27,1,1,5.5
172,2017-11-21,28,1,1,0.49
172,2017-11-21,30,1,1,29.71
172,2017-11-21,31,2,1,8.53
172,2017-11-21,32,2,1,5.57
172,2017-11-21,33,2,0,6.94
172,2017-11-21,34,2,1,2.33
172,2017-11-21,35,2,1,4.09
172,2017-11-21,36,2,0,7.54
172,2017-11-21,37,2,1,1.57
172,2017-11-21,38,2,1,6.99
172,2017-11-21,39,1,1,2.96
172,2017-11-21,41,2,1,31.14
172,2017-11-21,43,1,0,36.24
172,2017-11-21,48,1,1,28.78
172,2017-11-22,1,2,1,6.77
172,2017-11-22,2,2,1,2.19
172,2017-11-22,3,1,0,32.36
172,2017-11-22,5,2,1,57.41
172,2017-11-22,7,2,1,29.27
172,2017-11-22,8,1,1,7.42
172,2017-11-22,9,2,1,13.83
172,2017-11-22,10,2,0,5.41
172,2017-11-22,11,1,1,0.69
172,2017-11-22,12,2,1,7.37
172,2017-11-22,13,2,1,5.6
172,2017-11-22,14,2,0,4.43
172,2017-11-22,16,1,1,32.25
172,2017-11-22,17,2,1,9.81
172,2017-11-22,18,1,1,0.32
172,2017-11-22,19,1,1,2.31
172,2017-11-22,20,2,0,5.74
172,2017-11-22,21,2,1,3.21
172,2017-11-22,22,2,1,2.52
172,2017-11-22,23,1,1,4.13
172,2017-11-22,25,1,1,28.25
172,2017-11-22,27,1,1,27.81
172,2017-11-22,28,2,1,11.14
172,2017-11-22,29,2,0,9.38
172,2017-11-22,30,2,1,0.09
172,2017-11-22,31,2,1,7.02
172,2017-11-22,32,1,1,1.48
172,2017-11-22,33,1,1,10.02
172,2017-11-22,34,2,0,14.01
