subj_idx,date,trialnum,stim,response,rt
289,2019-02-05,2.0,2.0,0,12.81
289,2019-02-05,14.0,1.0,0,287.56
289,2019-02-05,41.0,2.0,1,1046.77
289,2019-02-06,18.0,1.0,1,449.0
289,2019-02-06,19.0,1.0,1,4.13
289,2019-02-06,20.0,1.0,1,6.12
289,2019-02-06,24.0,1.0,0,584.91
289,2019-02-06,25.0,2.0,1,109.38
289,2019-02-06,26.0,1.0,0,17.18
289,2019-02-06,27.0,2.0,0,3.71
289,2019-02-06,30.0,2.0,1,117.2
289,2019-02-06,33.0,1.0,0,67.15
289,2019-02-06,37.0,2.0,1,78.57
289,2019-02-07,4.0,1.0,1,78.97
289,2019-02-07,7.0,2.0,1,64.96
289,2019-02-07,18.0,1.0,0,436.49
289,2019-02-07,19.0,1.0,1,288.5
289,2019-02-07,28.0,2.0,1,220.89
289,2019-02-07,42.0,2.0,0,583.96
292,2019-02-05,1.0,1.0,1,5.63
292,2019-02-05,5.0,2.0,1,85.4
292,2019-02-05,22.0,2.0,0,529.39
292,2019-02-05,37.0,2.0,1,810.32
292,2019-02-05,44.0,1.0,1,160.62
292,2019-02-05,45.0,2.0,0,549.56
292,2019-02-06,4.0,1.0,1,91.34
292,2019-02-06,6.0,1.0,0,141.56
292,2019-02-06,14.0,2.0,1,243.13
292,2019-02-06,37.0,1.0,1,582.06
292,2019-02-06,43.0,1.0,0,930.35
292,2019-02-07,3.0,2.0,0,53.7
292,2019-02-07,28.0,1.0,0,639.57
292,2019-02-07,34.0,2.0,1,868.13
293,2019-02-05,1.0,2.0,0,2.71
293,2019-02-05,2.0,1.0,1,5.03
293,2019-02-05,22.0,2.0,1,501.56
293,2019-02-05,43.0,1.0,0,1035.26
293,2019-02-06,8.0,1.0,1,188.74
293,2019-02-06,18.0,2.0,0,240.76
293,2019-02-06,36.0,2.0,1,709.83
293,2019-02-06,37.0,2.0,1,8.42
293,2019-02-06,38.0,1.0,0,483.08
293,2019-02-07,15.0,2.0,0,366.58
293,2019-02-07,19.0,1.0,1,483.3
293,2019-02-07,27.0,2.0,1,183.08
293,2019-02-07,37.0,2.0,1,240.96
293,2019-02-07,39.0,2.0,1,34.32
293,2019-02-07,45.0,1.0,0,726.32
293,2019-02-07,46.0,2.0,1,165.59
